"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","City","State","Salary","MinSalary","MaxSalary","AvgSalary","MinRevenue","MaxRevenue","AvgRevenue","MinEmployeeCount","MaxEmployeeCount","AvgEmployeeCount","Python","SAS","MATLAB","R","Java","SQL"
"1","0","Sr Data Scientist","$137K-$171K (Glassdoor est.)",3.1,"Healthfirst
3.1","New York, NY","New York, NY","1001 to 5000 ","1993","Nonprofit Organization","Insurance Carriers","Insurance","Not Provided","EmblemHealth, UnitedHealth Group, Aetna","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"2","1","Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA","5001 to 10000 ","1968","Company - Public","Research & Development","Business Services","1 to 2 billion ","Not Provided","Chantilly","VA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,5001,10000,7501,0,0,0,0,0,0
"3","2","Data Scientist","$137K-$171K (Glassdoor est.)",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 ","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million ","Not Provided","Boston","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"4","3","Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland","501 to 1000 ","2000","Company - Public","Electrical & Electronic Manufacturing","Manufacturing","100 to 500 million ","MKS Instruments, Pfeiffer Vacuum, Agilent Technologies","Newton","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,0,0,1,0,0,1
"5","4","Data Scientist","$137K-$171K (Glassdoor est.)",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 to 200 ","1998","Company - Private","Advertising & Marketing","Business Services","Not Provided","Commerce Signals, Cardlytics, Yodlee","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,1,0,0,0,1
"6","5","Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ","2010","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","Santa Barbara","CA","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,0,1,1
"7","6","Data Scientist / Machine Learning Expert","$137K-$171K (Glassdoor est.)",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","Cambridge","MA","137000-171000",137000,171000,154000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,0,0
"8","7","Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 ","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion ","Not Provided","Bedford","MA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,0,1
"9","8","Staff Data Scientist - Analytics","$137K-$171K (Glassdoor est.)",4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA","5001 to 10000 ","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion ","Square, PayPal, H&R Block","San Diego","CA","137000-171000",137000,171000,154000,2000000000,5000000000,3500000000,5001,10000,7501,0,0,0,0,0,0
"10","9","Data Scientist","$137K-$171K (Glassdoor est.)",3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL","51 to 200 ","2014","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Not Provided","Chicago","IL","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,0,0,1
"11","10","Data Scientist","$137K-$171K (Glassdoor est.)",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA","501 to 1000 ","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million ","Leidos, CACI International, Booz Allen Hamilton","Herndon","VA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,1,0,0,0,1,0
"12","11","Data Scientist","$137K-$171K (Glassdoor est.)",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 to 200 ","2016","Company - Private","IT Services","Information Technology","Not Provided","Slalom, Daugherty Business Solutions","Saint Louis","MO","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,1,0,1
"13","12","Data Scientist - Statistics, Early Career","$137K-$171K (Glassdoor est.)",3.7,"PNNL
3.7","Richland, WA","Richland, WA","1001 to 5000 ","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion ","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","Richland","WA","137000-171000",137000,171000,154000,500000000000000000,1000000000,250000000500000000,1001,5000,3001,0,0,0,0,0,0
"14","13","Data Modeler","$137K-$171K (Glassdoor est.)",3.1,"Old World Industries
3.1","Northbrook, IL","Northbrook, IL","201 to 500 ","1973","Company - Private","Chemical Manufacturing","Manufacturing","1 to 2 billion ","Not Provided","Northbrook","IL","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,201,500,351,0,0,0,0,0,1
"15","14","Data Scientist","$137K-$171K (Glassdoor est.)",3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ","1001 to 5000 ","1986","Company - Private","Consulting","Business Services","100 to 500 million ","Not Provided","Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,0
"16","15","Experienced Data Scientist","$137K-$171K (Glassdoor est.)",4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ","1 to 50 ","1997","Company - Private","Federal Agencies","Government","Not Provided","Not Provided","Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1,50,26,1,0,0,1,1,1
"17","16","Data Scientist - Contract","$137K-$171K (Glassdoor est.)",4.1,"Upside Business Travel
4.1","Remote","Washington, DC","51 to 200 ","2015","Company - Private","Internet","Information Technology","Not Provided","Not Provided","Remote","Not Provided","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
